author1,author2,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Anne Perkins,Barbara Ellen,lexico_syntactic,0.8854971720488963,0.8342923114120308,0.9367020326857619,3.095687318095323e-05,1.0,0.0,20.902541733160533
Anne Perkins,Barbara Ellen,coref,0.6489034847655537,0.5023649954316347,0.7954419740994727,0.04776721868824555,0.0028693391234813413,-4.2317945363399625,2.82125435647249
Anne Perkins,Barbara Ellen,voice,0.6616101076445904,0.5985897210472116,0.7246304942419691,0.0020567688918495123,5.9876506740966396e-05,-7.655258515942402,7.119943506328404
Anne Perkins,Barbara Ellen,coref+voice,0.671716839992702,0.504392373188925,0.839041306796479,0.046427309856858494,0.009471608225212215,-3.3920199227549652,2.849328547013241
Anne Perkins,Barbara Ellen,lexico+voice+coref,0.8704442619959861,0.8304339523985631,0.9104545715934091,1.360261174341514e-05,0.5381217388344217,-0.6431484438066698,25.706328401757997
Anne Perkins,Barbara Ellen,lexico+voice,0.9308173690932312,0.8734321049982036,0.9882026331882588,3.13032130740784e-05,0.14046149986696932,1.6360752517611095,20.84404061768078
Anne Perkins,Barbara Ellen,lexico+coref,0.9019631454114213,0.8384112705069543,0.9655150203158883,6.174939546076724e-05,0.590705210380978,0.5601624617128347,17.560907671490387
Anne Perkins,Catherine Bennett,lexico_syntactic,0.9564968571160521,0.9009106313343664,1.0,2.1916133645896265e-05,1.0,0.0,22.801304579589424
Anne Perkins,Catherine Bennett,coref,0.7397681927635487,0.5458541434463282,0.9336822420807691,0.026463257107282593,0.01752093170717044,-2.9829661761604296,3.432980887792535
Anne Perkins,Catherine Bennett,voice,0.6381166150670794,0.5108468075993959,0.7653864225347629,0.03943093007698233,0.00021709704903497695,-6.364993894817114,3.0130728369873045
Anne Perkins,Catherine Bennett,coref+voice,0.6581931544547645,0.49589162390418884,0.8204946850053401,0.053750161508428346,0.0013084522683702525,-4.827704573184568,2.7061643095526082
Anne Perkins,Catherine Bennett,lexico+voice+coref,0.9633549113425275,0.9192596758959279,1.0,8.216987016814541e-06,0.7952095771358267,0.2683638319657078,29.17502225663997
Anne Perkins,Catherine Bennett,lexico+voice,0.9258192607186416,0.8532091071092509,0.9984294143280323,8.326075993146484e-05,0.37887876614569815,-0.9314374715593653,16.282348175177464
Anne Perkins,Catherine Bennett,lexico+coref,0.9463614472902397,0.9034152265735875,0.989307668006892,8.583789685881252e-06,0.6991930349845911,-0.4006099672897451,28.85697588280354
Anne Perkins,Emma Brockes,lexico_syntactic,0.8618181818181819,0.7197348117143798,1.0,0.002111535460049236,1.0,0.0,7.070273735390347
Anne Perkins,Emma Brockes,coref,0.6631818181818183,0.49611616883026044,0.8302474675333762,0.0534321912251359,0.036107117812764024,-2.5146732424413054,2.711900154859463
