,author1,,author2,,code,code2,,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellenlexico_syntactic,Barbara EllenAnne Perkinslexico_syntactic,,lexico_syntactic,0.885497172,0.834292311,0.936702033,3.10E-05,1,0,20.90254173,,,,,,,,,,0.030401124,,,,,,,,,,,,,,,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellencoref,Barbara EllenAnne Perkinscoref,,coref,0.648903485,0.502364995,0.795441974,0.047767219,0.002869339,-4.231794536,2.821254356,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellenvoice,Barbara EllenAnne Perkinsvoice,,voice,0.661610108,0.598589721,0.724630494,0.002056769,5.99E-05,-7.655258516,7.119943506,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellencoref+voice,Barbara EllenAnne Perkinscoref+voice,,coref+voice,0.67171684,0.504392373,0.839041307,0.04642731,0.009471608,-3.392019923,2.849328547,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellenlexico+voice+coref,Barbara EllenAnne Perkinslexico+voice+coref,,lexico+voice+coref,0.870444262,0.830433952,0.910454572,1.36E-05,0.538121739,-0.643148444,25.7063284,,1,Anne Perkins,$A_{1},,input,,,,Barbara Ellen,Catherine Bennett,Emma Brockes,Gaby Hinsliff,Ian Jack,John Harris,Jonathan Freedland,Kevin McKenna,Marina Hyde,Oliver Burkeman,Paul Mason,Simon Jenkins,Suzanne Moore,Will Hutton,Zoe Williams,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellenlexico+voice,Barbara EllenAnne Perkinslexico+voice,,lexico+voice,0.930817369,0.873432105,0.988202633,3.13E-05,0.1404615,1.636075252,20.84404062,,2,Barbara Ellen,$A_{2},,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
1,Anne Perkins,2,Barbara Ellen,,Anne PerkinsBarbara Ellenlexico+coref,Barbara EllenAnne Perkinslexico+coref,,lexico+coref,0.901963145,0.838411271,0.96551502,6.17E-05,0.59070521,0.560162462,17.56090767,,3,Catherine Bennett,$A_{3},1,Anne Perkins,L,lexico_syntactic,,0.89^{a},0.96^{a},0.86^{a},0.93^{a},0.95^{a},0.87^{a},0.90^{a},0.95^{a},0.86^{a},0.88^{a},0.96^{a},0.94^{a},0.81^{a},0.96^{a},0.84^{a},,,$A_{1}$  & $ L$ & $ 0.89^{a}$ & $ 0.96^{a}$ & $ 0.86^{a}$ & $ 0.93^{a}$ & $ 0.95^{a}$ & $ 0.87^{a}$ & $ 0.90^{a}$ & $ 0.95^{a}$ & $ 0.86^{a}$ & $ 0.88^{a}$ & $ 0.96^{a}$ & $ 0.94^{a}$ & $ 0.81^{a}$ & $ 0.96^{a}$ & $ 0.84^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettlexico_syntactic,Catherine BennettAnne Perkinslexico_syntactic,,lexico_syntactic,0.956496857,0.900910631,1,2.19E-05,1,0,22.80130458,,4,Emma Brockes,$A_{4},,,C,coref,,0.65^{a},0.74^{a},0.66^{},0.60^{},0.81^{a},0.70^{a},0.75^{a},0.48^{},0.73^{a},0.70^{a},0.63^{},0.64^{a},0.56^{},0.58^{},0.70^{a},,,        & $ C$ & $ 0.65^{a}$ & $ 0.74^{a}$ & $ 0.66^{}$ & $ 0.60^{}$ & $ 0.81^{a}$ & $ 0.70^{a}$ & $ 0.75^{a}$ & $ 0.48^{}$ & $ 0.73^{a}$ & $ 0.70^{a}$ & $ 0.63^{}$ & $ 0.64^{a}$ & $ 0.56^{}$ & $ 0.58^{}$ & $ 0.70^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettcoref,Catherine BennettAnne Perkinscoref,,coref,0.739768193,0.545854143,0.933682242,0.026463257,0.017520932,-2.982966176,3.432980888,,5,Gaby Hinsliff,$A_{5},,,V,voice,,0.66^{a},0.64^{a},0.71^{a},0.51^{},0.76^{a},0.75^{a},0.61^{},0.54^{},0.72^{a},0.77^{a},0.67^{a},0.66^{a},0.63^{},0.55^{},0.67^{a},,,        & $ V$ & $ 0.66^{a}$ & $ 0.64^{a}$ & $ 0.71^{a}$ & $ 0.51^{}$ & $ 0.76^{a}$ & $ 0.75^{a}$ & $ 0.61^{}$ & $ 0.54^{}$ & $ 0.72^{a}$ & $ 0.77^{a}$ & $ 0.67^{a}$ & $ 0.66^{a}$ & $ 0.63^{}$ & $ 0.55^{}$ & $ 0.67^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettvoice,Catherine BennettAnne Perkinsvoice,,voice,0.638116615,0.510846808,0.765386423,0.03943093,0.000217097,-6.364993895,3.013072837,,6,Ian Jack,$A_{6},,,LC,lexico+coref,,0.90^{a},0.95^{a},0.89^{a},0.98^{a},0.93^{a},0.90^{a},0.85^{a},0.93^{a},0.87^{a},0.94^{a},0.96^{a},0.91^{a},0.84^{a},0.99^{a},0.87^{a},,,        & $ LC$ & $ 0.90^{a}$ & $ 0.95^{a}$ & $ 0.89^{a}$ & $ 0.98^{a}$ & $ 0.93^{a}$ & $ 0.90^{a}$ & $ 0.85^{a}$ & $ 0.93^{a}$ & $ 0.87^{a}$ & $ 0.94^{a}$ & $ 0.96^{a}$ & $ 0.91^{a}$ & $ 0.84^{a}$ & $ 0.99^{a}$ & $ 0.87^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettcoref+voice,Catherine BennettAnne Perkinscoref+voice,,coref+voice,0.658193154,0.495891624,0.820494685,0.053750162,0.001308452,-4.827704573,2.70616431,,7,John Harris,$A_{7},,,LV,lexico+voice,,0.93^{a},0.93^{a},0.87^{a},0.91^{a},0.94^{a},0.88^{a},0.85^{a},0.97^{a},0.83^{a},0.88^{a},0.96^{a},0.92^{a},0.87^{a},0.95^{a},0.86^{a},,,        & $ LV$ & $ 0.93^{a}$ & $ 0.93^{a}$ & $ 0.87^{a}$ & $ 0.91^{a}$ & $ 0.94^{a}$ & $ 0.88^{a}$ & $ 0.85^{a}$ & $ 0.97^{a}$ & $ 0.83^{a}$ & $ 0.88^{a}$ & $ 0.96^{a}$ & $ 0.92^{a}$ & $ 0.87^{a}$ & $ 0.95^{a}$ & $ 0.86^{a}$ \\
